X,Y,Location,Juris,Status,Lat,Long
-111.7881003,33.40840169,NB GILBERT RD & FS BROADWAY RD,Mesa,Active,33.408407,-111.788111
-111.7881432,33.40531666,NB GILBERT RD & FS CLOVIS AV,Mesa,Active,33.405322,-111.788154
-111.7881484,33.39019768,NB GILBERT RD & FS HAMPTON AV,Mesa,Active,33.390203,-111.788159
-111.7881351,33.40118278,NB GILBERT RD & FS PUEBLO AV,Mesa,Active,33.401188,-111.788146
-111.7880792,33.39424189,NB GILBERT RD & FS SOUTHERN AV,Mesa,Active,33.394247,-111.78809
-111.7881613,33.38405389,NB GILBERT RD & NS INVERNESS AV,Mesa,Active,33.384059,-111.788172
-111.8229271,33.38259867,NB MESA DR & NS AUTO CENTER DR,Mesa,Active,33.382604,-111.822938
-111.8228252,33.41157177,NB MESA DR & FS 2ND AV,Mesa,Active,33.411577,-111.822836
-111.8228693,33.40799668,NB MESA DR & FS BROADWAY RD,Mesa,Active,33.408002,-111.82288
-111.8227771,33.38985382,NB MESA DR & FS HAMPTON AV,Mesa,Active,33.389859,-111.822788
-111.8228224,33.39986274,NB MESA DR & FS MILLETT AV,Mesa,Active,33.399868,-111.822833
-111.8227611,33.39403991,NB MESA DR & FS SOUTHERN AV,Mesa,Active,33.394045,-111.822772
-111.6844912,33.39939986,NB POWER RD & MB FLOSSMOOR AV PUEBLO AV,Mesa,Active,33.399405,-111.684502
-111.6876834,33.38004383,NB POWER RD & FS BASELINE RD,Mesa,Active,33.380049,-111.687694
